"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/components/gonogodetailcomponent.component","71","23","VfUnescapeEl","Avoid unescaped user controlled content in EL","https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel","Security","pmd"
"2","3","/Users/ashutoshraut/Documents/GoNoGo/force-app/main/default/components/gonogodetailcomponent.component","75","22","VfUnescapeEl","Avoid unescaped user controlled content in EL","https://pmd.github.io/pmd-6.55.0/pmd_rules_vf_security.html#vfunescapeel","Security","pmd"
